candidate_id,timeframe,symbols,replay_stage,sample_count,required_sample_count,failure_reason,minimum_remediation,estimated_validation_gain,classification
ptc_backtest_final_3a4ac24107c77136,5m,DIA; QQQ; SPY,direct_validation,0,30,coverage=FULL_COVERAGE daily symbols 3/3; no 5m intraday coverage evidenced; replay_attempted=yes; root=insufficient sample size after filtering; daily-vs-intraday mismatch; replay logic limitation; universe aggregation issue; Daily proxy replay ran on DIA but produced sample_size=0 after trigger/regime filtering; direct_result says minimum sample size 30 not met after 125 triggered samples were filtered.,"Acquire/attach DIA, QQQ, and SPY 5m intraday bars or rewrite the direct replay test so the 5m breakout mechanism is not represented by a daily-bar proxy.",HIGH,REGIME_FILTER
ptc_backtest_final_469607b8340421b7,30m,DIA; QQQ; SPY,direct_validation,0,30,coverage=FULL_COVERAGE daily symbols 3/3; no 30m intraday coverage evidenced; replay_attempted=yes; root=insufficient sample size after filtering; daily-vs-intraday mismatch; replay logic limitation; universe aggregation issue; Daily proxy replay ran on DIA but produced sample_size=0 after trigger/regime filtering; direct_result says minimum sample size 30 not met after 125 triggered samples were filtered. This is not a symbol absence problem anymore.,"Acquire/attach DIA, QQQ, and SPY 30m intraday bars or refine the direct replay trigger/regime filter so the 30m breakout claim is tested directly across the attributed universe.",HIGH,REGIME_FILTER
ptc_backtest_final_7d839944a8a4070a,15m,TLT; USO,direct_validation,0,30,"coverage=NO_COVERAGE daily symbols 0/2; replay_attempted=no; root=missing symbols; daily-vs-intraday mismatch remains after daily acquisition; No local direct CSV data found for resolved symbols, so direct replay did not run.",Acquire TLT and USO adjusted daily files first; add 15m intraday bars for rule-specific breakout validation.,HIGH,REGIME_FILTER
ptc_backtest_final_b23c6756bfb3263a,30m,BAC; GOOGL; META; MSFT; NFLX; TSLA,direct_validation,0,30,"coverage=FULL_COVERAGE daily symbols 6/6 after GOOGL unlock; no 30m intraday coverage evidenced; replay_attempted=yes; root=insufficient sample size after filtering; daily-vs-intraday mismatch; replay logic limitation; universe aggregation issue; GOOGL completed daily coverage, but direct validation remained unchanged. Daily proxy replay ran on BAC and produced sample_size=0 after trigger/regime filtering; 98 triggered samples were filtered.","Acquire/attach 30m intraday data for BAC, GOOGL, META, MSFT, NFLX, and TSLA or refine the breakout trigger/regime filter across the full universe.",HIGH,REGIME_FILTER
ptc_backtest_final_d5931b24bd391113,30m,AMZN; BAC; META; MSFT; NFLX; TSLA,direct_validation,0,30,coverage=FULL_COVERAGE daily symbols 6/6; no event metadata or 30m event-timing coverage evidenced; replay_attempted=yes; root=missing event metadata; insufficient sample size after filtering; daily-vs-intraday mismatch; replay logic limitation; universe aggregation issue; Daily proxy replay ran on AMZN but produced sample_size=0 after trigger/regime filtering; 85 triggered samples were filtered. Event-reaction mechanism is unlikely to be resolved by generic daily-bar proxy alone.,Attach event calendar/earnings/news metadata and 30m intraday data for the equity universe; implement an event-aware replay trigger instead of generic daily-bar proxy logic.,MEDIUM_HIGH,EVENT_METADATA
ptc_backtest_final_4df2e8e80685a054,1h,AAPL; AMZN; BAC; JPM; META; MSFT; TSLA,direct_validation,62,30,"coverage=PARTIAL_COVERAGE daily symbols 5/7; replay_attempted=yes; root=missing symbols; universe aggregation issue; daily-vs-intraday mismatch remains after daily acquisition; Partial direct data only. Direct replay produced BACKTEST_SUPPORTED on BAC with sample_size=62, expectancy=0.004254, and profit_factor=1.547891, but classification remains INSUFFICIENT_DATA because attributed universe coverage is incomplete.",Acquire AAPL and JPM adjusted daily files to complete universe coverage; then add 1h intraday files for rule-specific reversal validation.,HIGH,PROXY_MISMATCH
ptc_backtest_final_624fdd85668e2c08,30m,DBC; TLT; USO,direct_validation,0,30,"coverage=NO_COVERAGE daily symbols 0/3; replay_attempted=no; root=missing symbols; daily-vs-intraday mismatch remains after daily acquisition; No local direct CSV data found for resolved symbols, so direct replay did not run.","Acquire DBC, TLT, and USO adjusted daily files first; add 30m intraday bars for rule-specific validation after daily replay can run.",HIGH,PROXY_MISMATCH
ptc_backtest_final_0a75270e4aced70b,30m,"BAC, GOOGL, META, MSFT, NFLX, TSLA",qualification_backtest_sample_size,26,30,INSUFFICIENT_DATA; final_score below 0.7; backtest classification INSUFFICIENT_DATA; detailed sample-trial coverage available; trigger_count=811; regime_filtered_count=785; post-filter sample_size=26; historical_replay_status=REPLAY_POSITIVE; historical_replay_sample_size=12,"direct 30m bars for BAC, GOOGL, META, MSFT, NFLX, TSLA; extend lookback or direct universe coverage enough to recover 4 more post-filter samples; preserve analysis-only status",HIGH: only 4 additional samples needed to cross the 30-sample evaluability threshold,LOW_SAMPLE_DENSITY
ptc_backtest_final_133dce459bccef18,1h intraday,"DIA, QQQ",qualification_backtest_sample_size,2,30,INSUFFICIENT_DATA; final_score below 0.7; backtest classification INSUFFICIENT_DATA; no detailed sample-trial row; final ranking preview reports 2 usable samples; candidate-level trigger/filter coverage not materialized,"direct 1h intraday bars for DIA, QQQ; build sample attrition ledger before retest; current sample count far below 30",MEDIUM: 28 additional samples needed; confidence improves only after substantial sample recovery,LOW_SAMPLE_DENSITY
ptc_backtest_final_167bf746a7e16482,5m,"DIA, QQQ, SPY",qualification_backtest_sample_size,26,30,INSUFFICIENT_DATA; final_score below 0.7; backtest classification INSUFFICIENT_DATA; detailed sample-trial coverage available; trigger_count=811; regime_filtered_count=785; post-filter sample_size=26; historical_replay_status=REPLAY_POSITIVE; historical_replay_sample_size=12,"direct 5m bars for DIA, QQQ, SPY; extend lookback or direct universe coverage enough to recover 4 more post-filter samples; preserve analysis-only status",HIGH: only 4 additional samples needed to cross the 30-sample evaluability threshold,LOW_SAMPLE_DENSITY
ptc_backtest_final_00ddd14158f5530b,30m intraday,"GLD, TLT, XLE",qualification_backtest_sample_size,0,30,INSUFFICIENT_DATA; final_score below 0.7; backtest classification INSUFFICIENT_DATA; no detailed sample-trial row; final ranking reports 0 usable samples; current daily/proxy replay path did not produce evaluable samples for this candidate,"mechanism-specific LIQUIDITY_SWEEP trigger audit on direct 30m intraday bars for GLD, TLT, XLE; identify why current post-filter sample count is zero before requesting more data",LOW until replay/sample attribution explains zero usable samples; confidence cannot improve from sample count alone,REPLAY_LOGIC
ptc_backtest_final_02630f234d5edbab,30m intraday,"DBC, GLD, XLE",qualification_backtest_sample_size,0,30,INSUFFICIENT_DATA; final_score below 0.7; backtest classification INSUFFICIENT_DATA; no detailed sample-trial row; final ranking reports 0 usable samples; current daily/proxy replay path did not produce evaluable samples for this candidate,"mechanism-specific VWAP_OR_AVERAGE_RECLAIM trigger audit on direct 30m intraday bars for DBC, GLD, XLE; identify why current post-filter sample count is zero before requesting more data",LOW until replay/sample attribution explains zero usable samples; confidence cannot improve from sample count alone,REPLAY_LOGIC
