source_family,source_term,compared_term,classification,semantic_dimension,can_approximate_chop,validation_safe,observed_evidence,notes
observations,CHOP,RANGE_BOUND,PARTIAL_EQUIVALENT,sideways_range_low_directional,YES_DIAGNOSTIC_ONLY,NO,"observation_trial REGIME_PROXY_MAP maps CHOP to RANGE_BOUND","Closest current proxy; not exact equality."
observations,CHOP,LOW_VOLATILITY,NOT_EQUIVALENT,volatility_magnitude,NO,NO,"bulk_observation_import keeps CHOP and LOW_VOLATILITY as separate regimes","Can overlap in real markets but not a synonym in Atlas."
observations,CHOP,UNKNOWN,NOT_EQUIVALENT,unknown_or_unresolved,NO,NO,"bulk_observation_import keeps CHOP and UNKNOWN as separate regimes","UNKNOWN means missing or unresolved, not sideways."
claims,CHOP,RANGE_BOUND,PARTIAL_EQUIVALENT,sideways_range_low_directional,YES_DIAGNOSTIC_ONLY,NO,"claim text preserves CHOP while trial hypotheses use RANGE_BOUND proxy","Claims assert CHOP; replay proxy may use RANGE_BOUND."
claims,CHOP,LOW_VOLATILITY,NOT_EQUIVALENT,volatility_magnitude,NO,NO,"claim text separately appears for CHOP and LOW_VOLATILITY regimes","LOW_VOLATILITY changes the claim semantics."
claims,CHOP,UNKNOWN,NOT_EQUIVALENT,unknown_or_unresolved,NO,NO,"claim generator says UNKNOWN regimes only when regime is UNKNOWN","UNKNOWN removes the CHOP assertion."
hypotheses,CHOP,RANGE_BOUND,PARTIAL_EQUIVALENT,proxy_replay_regime,YES_DIAGNOSTIC_ONLY,NO,"REGIME_PROXY_MAP: CHOP -> RANGE_BOUND","This is the strongest local mapping, but it is scoped to observation trial."
hypotheses,CHOP,LOW_VOLATILITY,NOT_EQUIVALENT,proxy_replay_regime,NO,NO,"REGIME_PROXY_MAP maps LOW_VOL to LOW_VOLATILITY separately","Separate map entry means not equivalent."
hypotheses,CHOP,UNKNOWN,NOT_EQUIVALENT,unknown_or_unresolved,NO,NO,"REGIME_PROXY_MAP maps UNKNOWN to UNKNOWN separately","UNKNOWN is not used as CHOP proxy."
candidates,CHOP,RANGE_BOUND,PARTIAL_EQUIVALENT,candidate_regime_vs_daily_proxy,YES_DIAGNOSTIC_ONLY,NO,"candidate validation queue has BREAKOUT / CHOP; daily proxy emits RANGE_BOUND","Needs explicit bridge before use in candidate validation."
candidates,CHOP,LOW_VOLATILITY,NOT_EQUIVALENT,candidate_regime_vs_volatility_state,NO,NO,"final rankings and excluded candidates contain both CHOP and LOW_VOLATILITY","Different candidate cohorts and meanings."
candidates,CHOP,UNKNOWN,NOT_EQUIVALENT,candidate_regime_vs_unknown,NO,NO,"candidate artifacts contain CHOP rows and UNKNOWN rows separately","UNKNOWN weakens or blocks interpretation."
replay_reports,CHOP,RANGE_BOUND,PARTIAL_EQUIVALENT,replay_sample_regime,YES_DIAGNOSTIC_ONLY,NO,"methodology trial uses RANGE_BOUND; observation-sourced artifacts preserve CHOP","Replay reports mix source labels and proxy labels."
replay_reports,CHOP,LOW_VOLATILITY,NOT_EQUIVALENT,replay_sample_regime,NO,NO,"methodology trial has both RANGE_BOUND and LOW_VOLATILITY but no CHOP","LOW_VOLATILITY is not the CHOP proxy."
replay_reports,CHOP,UNKNOWN,NOT_EQUIVALENT,replay_sample_regime,NO,NO,"methodology trial and replay artifacts preserve UNKNOWN separately","UNKNOWN is a fallback/unresolved label."
validation_reports,CHOP,RANGE_BOUND,PARTIAL_EQUIVALENT,daily_validation_classifier,YES_DIAGNOSTIC_ONLY,NO,"candidate_backtests emits RANGE_BOUND and direct validation exact-matches allowed_regimes=[CHOP]","Root cause: CHOP candidates get zero exact CHOP samples."
