candidate_id,candidate_group,group_count,final_score,failing_score_components,replay_support,backtest_support,evidence_maturity,proxy_dependence,sample_size,regime_fit,primary_failure_reason,fixability,poor_candidate_or_poor_validation,source_basis
GROUP::FINAL_SCORE_BELOW_0_7,all final qualification failures,490,avg=0.664326; median=0.666771; threshold=0.7,evidence_maturity; historical_replay; research_effectiveness; hypothesis_survival; candidate_quality_signal; regime_coverage; proxy_penalty,mixed; preliminary replay-derived edge avg=0.68293 below threshold before backtest-aware credit,"mixed; 228 supported overall, but 372 weak or insufficient-data classifications",average component value 0.65; largest component suppression 0.0595,universal proxy penalty count=600,sample-size penalty count=156,average regime coverage component=0.55; suppression=0.036,aggregate final score remains below 0.7,MIXED,mixed: low maturity and replay limits indicate validation/evidence gaps; weak backtests indicate true rejection for some,backtest_aware_final_qualification.summary; edge_qualification_gate_audit.component_suppression_rank
GROUP::BACKTEST_WEAK,failed candidates with weak backtest classification,216,<0.7 by definition for this failure group,backtest_evidence_score; profit_factor; expectancy; max_drawdown_inverse; replay_backtest_consistency,insufficient to offset weak backtest classification,BACKTEST_WEAK,weak empirical support; generated/replay evidence not enough,proxy penalty also applies globally,varies; not the defining suppressor,varies,backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,more poor candidate/evidence than pure validation gap,backtest_aware_final_qualification.summary.main_final_disqualification_reasons
GROUP::INSUFFICIENT_DATA,failed candidates with insufficient-data backtest classification,156,<0.7 by definition for this failure group,sample_size; missing_evidence_penalty; backtest_evidence_score,not enough usable samples to support qualification,INSUFFICIENT_DATA,immature; missing evidence penalty overlaps sample-size penalty,proxy penalty also applies globally,sample-size penalty count=156; missing evidence penalty count=156,varies; sample filtering can interact with regime fit,backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,more poor validation/data sufficiency than proven poor candidate,backtest_aware_final_qualification.summary; component_suppression
GROUP::LOW_SCORE_ONLY,failed candidates below threshold without weak/insufficient-data label in aggregate accounting,118,0.65-0.70 band implied by threshold sensitivity for many candidates,component suppression across evidence_maturity; historical_replay; research_effectiveness; hypothesis_survival; candidate_quality_signal; regime_coverage,directional but below threshold,not classified weak/insufficient in aggregate bucket,moderate but not enough for 0.7 threshold,proxy penalty also applies globally,not primary group driver,moderate; average regime coverage 0.55,score margin below 0.7 from cumulative component suppression,FIXABLE_OR_RETESTABLE,"mostly validation threshold/evidence maturity gap, not obvious true rejection",derived from 490 - 216 - 156
GROUP::PROXY_DEPENDENCY,overlapping evidence weakness among evaluated candidates,600,overlapping suppressor; not additive with 490 failures,proxy dependency,affected by evidence weakness,varies,suppressed,yes,varies,varies,proxy dependency,FIXABLE_VALIDATION_GAP,poor validation/evidence fidelity,final_candidate_ranking.main_remaining_evidence_weaknesses
GROUP::FRAGILE_DRAWDOWN,overlapping evidence weakness among evaluated candidates,348,overlapping suppressor; not additive with 490 failures,fragile drawdown,affected by evidence weakness,varies,varies,possible,varies,varies,fragile drawdown,TRUE_REJECTION_OR_MAJOR_REDESIGN,candidate fragility likely material,final_candidate_ranking.main_remaining_evidence_weaknesses
GROUP::INTRADAY_DAILY_MISMATCH,overlapping evidence weakness among evaluated candidates,180,overlapping suppressor; not additive with 490 failures,intraday/daily mismatch,affected by evidence weakness,varies,varies,possible,varies,timeframe mismatch can weaken regime fit,intraday/daily mismatch,FIXABLE_VALIDATION_GAP,poor validation fidelity,final_candidate_ranking.main_remaining_evidence_weaknesses
GROUP::LOW_SAMPLE_SIZE,overlapping evidence weakness among evaluated candidates,156,overlapping suppressor; not additive with 490 failures,low sample size,affected by evidence weakness,varies,varies,possible,low,varies,low sample size,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.main_remaining_evidence_weaknesses
GROUP::MISSING_EVIDENCE,overlapping evidence weakness among evaluated candidates,156,overlapping suppressor; not additive with 490 failures,missing evidence,affected by evidence weakness,varies,suppressed,possible,varies,varies,missing evidence,FIXABLE_VALIDATION_GAP,poor evidence maturity,final_candidate_ranking.main_remaining_evidence_weaknesses
GROUP::COMPONENT_EVIDENCE_MATURITY,average qualification component suppressor,600,average contribution=0.1105; suppression_vs_max=0.0595,evidence_maturity,component-level aggregate,edge qualification excludes backtest evidence in gate audit,component driver,not directly encoded at edge gate,varies,varies,average evidence_maturity contribution below max,FIXABLE_VALIDATION_GAP,poor validation/evidence maturity,edge_qualification_gate_audit.component_suppression_rank
GROUP::COMPONENT_HISTORICAL_REPLAY,average qualification component suppressor,600,average contribution=0.092331; suppression_vs_max=0.057669,historical_replay,component-level aggregate,edge qualification excludes backtest evidence in gate audit,varies,not directly encoded at edge gate,sample-size affects historical replay component,varies,average historical_replay contribution below max,FIXABLE_VALIDATION_GAP,poor validation/evidence maturity,edge_qualification_gate_audit.component_suppression_rank
GROUP::COMPONENT_RESEARCH_EFFECTIVENESS,average qualification component suppressor,600,average contribution=0.118999; suppression_vs_max=0.051001,research_effectiveness,component-level aggregate,edge qualification excludes backtest evidence in gate audit,varies,not directly encoded at edge gate,varies,varies,average research_effectiveness contribution below max,MIXED,mixed,edge_qualification_gate_audit.component_suppression_rank
GROUP::COMPONENT_HYPOTHESIS_SURVIVAL,average qualification component suppressor,600,average contribution=0.0858; suppression_vs_max=0.0442,hypothesis_survival,component-level aggregate,edge qualification excludes backtest evidence in gate audit,varies,not directly encoded at edge gate,varies,varies,average hypothesis_survival contribution below max,MIXED,mixed,edge_qualification_gate_audit.component_suppression_rank
GROUP::COMPONENT_CANDIDATE_QUALITY_SIGNAL,average qualification component suppressor,600,average contribution=0.0897; suppression_vs_max=0.0403,candidate_quality_signal,component-level aggregate,edge qualification excludes backtest evidence in gate audit,varies,not directly encoded at edge gate,varies,varies,average candidate_quality_signal contribution below max,MIXED,mixed,edge_qualification_gate_audit.component_suppression_rank
