source_vocabulary,term,namespace,observed_in,canonical_candidate_term,canonical_validation_term,canonical_replay_term,canonical_qualification_term,translation_status,notes
Vocabulary A,CHOP,candidate_market_regime,"bulk observation import; memory labels; candidate validation queue; focused candidates",CHOP,,,,CONFLICTING_TRANSLATION,"Observation trial maps CHOP to RANGE_BOUND for proxy backtests, but direct validation exact matching does not."
Vocabulary A,TRENDING,candidate_market_regime,"bulk observation import; methodology trial; candidate validation queue",TRENDING,,,,DIRECT_MATCH,"Matches daily proxy replay classifier output."
Vocabulary A,TREND,candidate_market_regime,"memory labels",TRENDING,,,,ALIAS_TRANSLATION,"REGIME_PROXY_MAP maps TREND to TRENDING."
Vocabulary A,RANGE_BOUND,candidate_market_regime,"methodology trial; mechanism search space; replay/backtest samples",RANGE_BOUND,,,,DIRECT_MATCH,"Daily proxy classifier emits RANGE_BOUND; candidate-facing artifacts often use CHOP instead."
Vocabulary A,HIGH_VOLATILITY,candidate_market_regime,"bulk observation import; methodology trial; memory labels; replay/backtest samples",HIGH_VOLATILITY,,,,DIRECT_MATCH,"Matches daily proxy replay classifier output."
Vocabulary A,HIGH_VOL,candidate_market_regime_alias,"REGIME_PROXY_MAP",HIGH_VOLATILITY,,,,ALIAS_TRANSLATION,"Alias only; not a common stored artifact value."
Vocabulary A,LOW_VOLATILITY,candidate_market_regime,"bulk observation import; methodology trial; memory labels; replay/backtest samples",LOW_VOLATILITY,,,,DIRECT_MATCH,"Matches daily proxy replay classifier output."
Vocabulary A,LOW_VOL,candidate_market_regime_alias,"REGIME_PROXY_MAP",LOW_VOLATILITY,,,,ALIAS_TRANSLATION,"Alias only; not a common stored artifact value."
Vocabulary A,UNKNOWN,unknown_market_regime,"candidate observations; memory labels; replay/backtest samples",UNKNOWN,,,,DIRECT_MATCH,"Fail-closed or unfiltered depending on consumer; direct backtest allows all when primary or allowed regimes are UNKNOWN."
Vocabulary A,OPENING_SESSION,session_regime,"memory labels; mechanism search space",OPENING_SESSION,,,,MISSING_TRANSLATION,"Session dimension; not comparable to daily trend/volatility without decomposition."
