rank,severity,category,debt_item,count,count_basis,estimated_impact,suggested_remediation,source_paths
1,CRITICAL,Missing Market Data,"Direct validation blocked by missing candidate-universe market data",8,"8/8 direct-validation candidates classified INSUFFICIENT_DATA; 100% block rate","Candidate validation cannot confirm whether proxy-ranked candidates survive direct replay.","Stage read-only data readiness repair by highest-leverage symbols: DIA/QQQ first, then TLT/USO/DBC, then BAC/META/MSFT/TSLA, then completion symbols.","reports/atlas_v2_research_os/direct_replay_coverage_audit_001.md; reports/atlas_v2_research_os/candidate_validation_queue_001.md"
2,CRITICAL,Missing Market Data,"Unique candidate symbols missing local data",14,"14 of 15 attributed symbols missing; only SPY available","Proxy dependency remains structural; direct replay coverage is only 6.67%.","Acquire or stage local daily and candidate-timeframe CSV coverage for repeated symbols before interpreting direct validation.","reports/atlas_v2_research_os/direct_replay_coverage_audit_001.md"
3,CRITICAL,Unvalidated Candidates,"Proxy-dependent ranked candidate universe",600,"600 evaluated candidates all carry proxy dependency weakness","All candidate conclusions remain vulnerable to SPY daily proxy artifacts and target-universe mismatch.","Treat all ranked candidate conclusions as research-only until candidate-specific data and direct replay exist.","reports/atlas_v2_research_os/final_candidate_ranking/2026-06-05/final_candidate_ranking_report.json"
4,HIGH,Qualification Gaps,"Final-score qualification suppression",490,"490 of 600 candidates below final score threshold 0.7","Most generated candidate surface cannot pass qualification even after backtest-aware scoring.","Review qualification feature penalties and separate genuine weakness from repairable missing-evidence penalties.","reports/atlas_v2_research_os/backtest_aware_final_qualification/2026-06-05/backtest_aware_final_qualification_report.json"
5,HIGH,Replay Coverage Gaps,"Backtest evidence insufficient or weak",372,"216 BACKTEST_WEAK plus 156 INSUFFICIENT_DATA out of 600","Replay/backtest support is not strong enough for most candidates; unsupported items can consume review attention.","Prioritize insufficient-data repairs first, then retire or redesign weak backtest mechanisms after human review.","reports/atlas_v2_research_os/backtest_aware_final_qualification/2026-06-05/backtest_aware_final_qualification_report.json"
6,HIGH,Duplicate Candidate Clusters,"Observation clustering over-merged source observations",50,"50/50 audited observation clusters classified OVER_MERGED","Candidate discovery may collapse distinct symbol/timeframe/source-type behavior into broad clusters and hide useful variation.","Use split dimensions already tested: symbol group, timeframe, and source_type; keep output research-only.","reports/atlas_v2_research_os/observation_diversity_audit/2026-06-05/observation_diversity_audit_report.json"
7,HIGH,Unresolved Hypotheses,"Ready hypothesis-validation backlog not processed",17,"17 current READY hypothesis-validation items; overnight run processed none","Hypothesis validation queue is accumulating faster than execution selection under current run limits.","Triage ready validation items by source lineage, information gain, and data availability before increasing generation volume.","reports/atlas_v2_research_os/claim_hypothesis_funnel/2026-06-05/claim_hypothesis_funnel_conversion_report.json"
8,HIGH,Stale Observations,"Open paper positions not near deterministic closure",47,"47 of 51 reviewed open positions had no stop-loss, take-profit, or max-hold proximity","Outcome evidence remains stale/open; validation samples cannot mature until deterministic closure occurs.","Continue read-only outcome follow-through; focus monitoring on near-threshold positions without forcing exits or new positions.","research_journal/reports/open_paper_position_outcome_follow_through_review_001.md"
9,HIGH,Unresolved Adversary Findings,"Generated-only adversary review corpus unresolved by human scoring",150,"150 adversary review artifacts; evaluation cases_evaluated=0","Assumptions, constraints, and falsification tests exist but are not converted into measured usefulness or accepted findings.","Run human scoring on a bounded sample; classify findings as accepted, rejected, duplicate, or needs evidence.","reports/atlas_v2_research_os/research_adversary_corpus/corpus_summary.md; reports/atlas_v2_research_os/research_adversary_evaluation/latest/research_adversary_evaluation_summary.json"
10,HIGH,Failure Patterns Not Yet Encoded,"Historical failure taxonomy not encoded in failure memory",18,"19 historical failure cases reviewed; only 1 explicit failure_patterns memory entry","Known negative knowledge is mostly report-bound, so future reviews can miss recurring Atlas-specific failures.","Keep implementation out of scope; for planning, prioritize read-only taxonomy lookup coverage for unencoded failures.","research_journal/reports/atlas_failure_taxonomy_validation_001.md; reports/atlas_v2_research_os/memory/failure_patterns.json"
