candidate_id,mechanism,regime,final_score,primary_failure_class,secondary_failure_class,fixable_vs_true_rejection,evidence_gap,proxy_dependence,intraday_required,event_metadata_required,regime_vocab_issue,sample_size_issue,backtest_weak,recommended_next_evidence_step
ptc_backtest_final_009acc9a8738e8f0,MEAN_REVERSION,UNKNOWN,0.682689,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_00ddd14158f5530b,LIQUIDITY_SWEEP,LOW_VOLATILITY,0.621197,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_00fac299fa02a3a9,SESSION_TIMING,TRENDING,0.654562,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_0201292a9823e314,MEAN_REVERSION,UNKNOWN,0.677634,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_02630f234d5edbab,VWAP_OR_AVERAGE_RECLAIM,LOW_VOLATILITY,0.607147,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_02881049f0191b18,VWAP_OR_AVERAGE_RECLAIM,HIGH_VOLATILITY,0.690446,INTRADAY_REQUIRED,EVIDENCE_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_03db5cf7c3b7bb99,BREAKOUT,TRENDING,0.678027,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_040dea316c6d1917,VWAP_OR_AVERAGE_RECLAIM,UNKNOWN,0.658838,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_042ef18d74cfe0e1,VWAP_OR_AVERAGE_RECLAIM,TRENDING,0.660083,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_045abee318c2560a,LIQUIDITY_SWEEP,UNKNOWN,0.674959,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
